candidate_id,rank,score,reasoning
CAND_0036184,1,0.8208,"Recommendation Systems Engineer with 6.0 yrs; 5 core AI skills including Hugging Face Transformers, Sentence Transformers, Embeddings; actively engaged (90% response rate, 30-day notice)."
CAND_0002025,2,0.8195,"Experienced Senior AI Engineer (5.9 yrs) at product companies; expertise in FAISS, Python, Fine-tuning LLMs; available in 30 days with 80% response rate."
CAND_0018499,3,0.8177,"Top-ranked Senior Machine Learning Engineer (7.2 yrs, ideal title): Embeddings, Information Retrieval, Deep Learning; 61% response rate; product-company background."
CAND_0079387,4,0.7934,"AI Engineer with 6.9 years of experience; strong match on Python, Sentence Transformers, Vector Search; 30-day notice period and 81% recruiter response rate."
CAND_0077337,5,0.7837,"Staff Machine Learning Engineer with 7.0 yrs; 5 core AI skills including Information Retrieval, LLMs, RAG; actively engaged (95% response rate, 60-day notice)."
CAND_0081846,6,0.7727,"Experienced Lead AI Engineer (6.7 yrs) at product companies; expertise in Information Retrieval, Vector Search, Python; available in 30 days with 73% response rate."
CAND_0052682,7,0.7712,"Top-ranked NLP Engineer (6.6 yrs, ideal title): Python, Embeddings, LLMs; 88% response rate; product-company background."
CAND_0068932,8,0.7669,"ML Engineer with 5.2 years of experience; strong match on RAG, MLOps, OpenSearch; 30-day notice period and 82% recruiter response rate."
CAND_0032887,9,0.7619,"ML Engineer with 6.1 yrs; 1 core AI skill including NLP, Elasticsearch, Hugging Face Transformers; actively engaged (81% response rate, 45-day notice)."
CAND_0052328,10,0.7616,"Experienced Recommendation Systems Engineer (6.5 yrs) at product companies; expertise in Vector Search, Sentence Transformers, Fine-tuning LLMs; available in 30 days with 79% response rate."
CAND_0064888,11,0.7578,"Top-ranked ML Engineer (5.8 yrs, ideal title): TensorFlow, MLflow, Embeddings; 92% response rate; product-company background."
CAND_0008295,12,0.7572,"AI Research Engineer with 6.5 years of experience; strong match on Python, BentoML, QLoRA; 45-day notice period and 89% recruiter response rate."
CAND_0011687,13,0.7527,"Senior NLP Engineer with 7.8 yrs; 2 core AI skills including Embeddings, FAISS, TensorFlow; actively engaged (89% response rate, 15-day notice)."
CAND_0076163,14,0.7518,"Experienced NLP Engineer (6.9 yrs) at product companies; expertise in Sentence Transformers, Python, LangChain; available in 60 days with 84% response rate."
CAND_0099806,15,0.7507,"Top-ranked AI Engineer (4.6 yrs, ideal title): FAISS, Embeddings, RAG; 76% response rate; product-company background."
CAND_0046525,16,0.7483,"Senior Machine Learning Engineer (6.1 yrs) with relevant AI/ML background in Sentence Transformers, Information Retrieval, Machine Learning; 60-day notice period."
CAND_0000031,17,0.7461,Recommendation Systems Engineer with 6.0 years experience; 5 core skills matched; strong behavioral signals (91% response rate).
CAND_0061257,18,0.7451,"Staff Machine Learning Engineer (8.0 yrs) at product companies; skills include Python, Information Retrieval Systems, Machine Learning; 30-day notice and 87% response rate."
CAND_0071974,19,0.7436,"Strong-fit Senior AI Engineer: 7.8 years, Embeddings, Sentence Transformers, Information Retrieval; 76% recruiter engagement; 45-day availability."
CAND_0052195,20,0.7431,"Computer Vision Engineer with 6.3 years; solid skill match including Sentence Transformers, NLP, Information Retrieval; 69% response rate and 30-day notice."
CAND_0043384,21,0.7415,"Computer Vision Engineer (5.2 yrs) with relevant AI/ML background in LLMs, QLoRA, Hugging Face Transformers; 60-day notice period."
CAND_0026942,22,0.7353,Junior ML Engineer with 6.0 years experience; 1 core skill matched; strong behavioral signals (84% response rate).
CAND_0030031,23,0.7342,"AI Engineer (5.7 yrs) at product companies; skills include Python, RAG, Vector Search; 30-day notice and 94% response rate."
CAND_0033179,24,0.7341,"Strong-fit AI Research Engineer: 6.9 years, Fine-tuning LLMs, Information Retrieval, OpenSearch; 84% recruiter engagement; 30-day availability."
CAND_0057736,25,0.7331,"Computer Vision Engineer with 6.2 years; solid skill match including Information Retrieval, Qdrant, NLP; 92% response rate and 90-day notice."
CAND_0092706,26,0.7322,"AI Research Engineer (5.8 yrs) with relevant AI/ML background in Hugging Face Transformers, MLOps, Sentence Transformers; 120-day notice period."
CAND_0027691,27,0.7317,NLP Engineer with 6.5 years experience; 2 core skills matched; strong behavioral signals (68% response rate).
CAND_0033445,28,0.731,"ML Engineer (6.8 yrs) at product companies; skills include Information Retrieval, Deep Learning, MLOps; 30-day notice and 94% response rate."
CAND_0009691,29,0.7304,"Strong-fit Applied ML Engineer: 6.2 years, Fine-tuning LLMs, FAISS, Sentence Transformers; 64% recruiter engagement; 120-day availability."
CAND_0077956,30,0.7283,"Computer Vision Engineer with 6.4 years; solid skill match including Weaviate, LlamaIndex, Deep Learning; 88% response rate and 120-day notice."
CAND_0066690,31,0.7255,"ML Engineer (4.8 yrs) with relevant AI/ML background in Hugging Face Transformers, TensorFlow, Pinecone; 30-day notice period."
CAND_0003791,32,0.7248,ML Engineer with 6.6 years experience; 3 core skills matched; strong behavioral signals (66% response rate).
CAND_0016659,33,0.7239,"ML Engineer (4.4 yrs) at product companies; skills include Information Retrieval, Pinecone, Weaviate; 45-day notice and 89% response rate."
CAND_0007009,34,0.7212,"Strong-fit Recommendation Systems Engineer: 7.9 years, Python, Embeddings, LLMs; 62% recruiter engagement; 30-day availability."
CAND_0040887,35,0.7198,"Machine Learning Engineer with 4.7 years; solid skill match including Python, FAISS, LangChain; 84% response rate and 15-day notice."
CAND_0005538,36,0.7194,"Senior AI Engineer (5.9 yrs) with relevant AI/ML background in Python, Information Retrieval Systems, Deep Learning; 90-day notice period."
CAND_0017960,37,0.7194,Recommendation Systems Engineer with 7.7 years experience; 3 core skills matched; strong behavioral signals (72% response rate).
CAND_0089381,38,0.7174,"Computer Vision Engineer (6.0 yrs) at product companies; skills include PyTorch, LlamaIndex, Machine Learning; 90-day notice and 81% response rate."
CAND_0004402,39,0.7173,"Strong-fit AI Research Engineer: 6.0 years, PEFT, PyTorch, BentoML; 83% recruiter engagement; 60-day availability."
CAND_0042506,40,0.7167,"Search Engineer with 4.2 years; solid skill match including Fine-tuning LLMs, Information Retrieval, FAISS; 48% response rate and 15-day notice."
CAND_0054100,41,0.7164,"Junior ML Engineer (6.0 yrs) with relevant AI/ML background in Vector Search, Deep Learning, Weaviate; 60-day notice period."
CAND_0008239,42,0.7144,AI Engineer with 4.0 years experience; 3 core skills matched; strong behavioral signals (73% response rate).
CAND_0077498,43,0.7142,"Senior Software Engineer (ML) (5.4 yrs) at product companies; skills include MLflow, Milvus, Embeddings; 60-day notice and 89% response rate."
CAND_0071747,44,0.7132,"Strong-fit AI Research Engineer: 4.2 years, Python, Fine-tuning LLMs, BentoML; 87% recruiter engagement; 90-day availability."
CAND_0063622,45,0.7131,"Computer Vision Engineer with 5.2 years; solid skill match including Machine Learning, LangChain, MLOps; 92% response rate and 30-day notice."
CAND_0053591,46,0.7127,"AI Engineer (5.3 yrs) with relevant AI/ML background in Sentence Transformers, Embeddings, RAG; 60-day notice period."
CAND_0074735,47,0.7122,Applied ML Engineer with 5.5 years experience; 3 core skills matched; strong behavioral signals (77% response rate).
CAND_0091909,48,0.7122,"Machine Learning Engineer (6.9 yrs) at product companies; skills include LLMs, Sentence Transformers, Pinecone; 45-day notice and 65% response rate."
CAND_0030468,49,0.7115,"Strong-fit Senior Applied Scientist: 5.4 years, Ranking Systems, Information Retrieval Systems, Machine Learning; 78% recruiter engagement; 45-day availability."
CAND_0064326,50,0.7107,"Search Engineer with 7.6 years; solid skill match including RAG, Python, Deep Learning; 94% response rate and 45-day notice."
CAND_0039754,51,0.7105,"Senior Applied Scientist (16.2 yrs) with relevant AI/ML background in Python, LLMs, Fine-tuning LLMs; 30-day notice period."
CAND_0011162,52,0.7095,Recommendation Systems Engineer with 5.8 years experience; 5 core skills matched; strong behavioral signals (75% response rate).
CAND_0066999,53,0.709,"Recommendation Systems Engineer (5.9 yrs) at product companies; skills include FAISS, LLMs, Information Retrieval; 15-day notice and 63% response rate."
CAND_0078002,54,0.7083,"Strong-fit Machine Learning Engineer: 6.3 years, Hugging Face Transformers, NLP, LlamaIndex; 86% recruiter engagement; 60-day availability."
CAND_0020708,55,0.7054,"Search Engineer with 4.2 years; solid skill match including Python, LLMs, Fine-tuning LLMs; 84% response rate and 30-day notice."
CAND_0086022,56,0.7054,"Senior Applied Scientist (5.3 yrs) with relevant AI/ML background in Embeddings, Sentence Transformers, Vector Search; 0-day notice period."
CAND_0072660,57,0.705,Machine Learning Engineer with 7.1 years experience; 3 core skills matched; strong behavioral signals (53% response rate).
CAND_0062247,58,0.7031,"AI Engineer (7.3 yrs) at product companies; skills include Vector Search, Hugging Face Transformers, RAG; 30-day notice and 78% response rate."
CAND_0088025,59,0.7024,"Strong-fit Staff Machine Learning Engineer: 8.6 years, LLMs, RAG, Python; 83% recruiter engagement; 90-day availability."
CAND_0070525,60,0.7023,"Senior Software Engineer (ML) with 5.4 years; solid skill match including Python, LLMs, Recommendation Systems; 93% response rate and 45-day notice."
CAND_0076482,61,0.7017,"ML Engineer (6.6 yrs) with relevant AI/ML background in RAG, Pinecone, BentoML; 60-day notice period."
CAND_0010603,62,0.7005,ML Engineer with 5.3 years experience; 1 core skill matched; strong behavioral signals (94% response rate).
CAND_0080534,63,0.7002,"ML Engineer (3.8 yrs) at product companies; skills include Elasticsearch, OpenSearch, LangChain; 30-day notice and 91% response rate."
CAND_0046064,64,0.6998,"Strong-fit Senior NLP Engineer: 8.9 years, Python, Pinecone, PEFT; 78% recruiter engagement; 30-day availability."
CAND_0049540,65,0.6993,"ML Engineer with 6.8 years; solid skill match including MLflow, Deep Learning, TensorFlow; 86% response rate and 60-day notice."
CAND_0061265,66,0.6953,"Recommendation Systems Engineer (6.6 yrs) with relevant AI/ML background in Hugging Face Transformers, Embeddings, Vector Search; 120-day notice period."
CAND_0046132,67,0.695,AI Research Engineer with 4.3 years experience; 2 core skills matched; strong behavioral signals (94% response rate).
