candidate_id,rank,score,reasoning
CAND_0036184,1,0.8387,"Recommendation Systems Engineer with 6.0 yrs; 5 core AI skills including Hugging Face Transformers, Sentence Transformers, Embeddings; actively engaged (90% response rate, 30-day notice)."
CAND_0002025,2,0.8369,"Experienced Senior AI Engineer (5.9 yrs) at product companies; expertise in FAISS, Python, Fine-tuning LLMs; available in 30 days with 80% response rate."
CAND_0018499,3,0.8349,"Top-ranked Senior Machine Learning Engineer (7.2 yrs, ideal title): Embeddings, Information Retrieval, Deep Learning; 61% response rate; product-company background."
CAND_0079387,4,0.8101,"AI Engineer with 6.9 years of experience; strong match on Python, Sentence Transformers, Vector Search; 30-day notice period and 81% recruiter response rate."
CAND_0077337,5,0.8,"Staff Machine Learning Engineer with 7.0 yrs; 5 core AI skills including Information Retrieval, LLMs, RAG; actively engaged (95% response rate, 60-day notice)."
CAND_0081846,6,0.7892,"Experienced Lead AI Engineer (6.7 yrs) at product companies; expertise in Information Retrieval, Vector Search, Python; available in 30 days with 73% response rate."
CAND_0052682,7,0.7814,"Top-ranked NLP Engineer (6.6 yrs, ideal title): Python, Embeddings, LLMs; 88% response rate; product-company background."
CAND_0052328,8,0.7773,"Recommendation Systems Engineer with 6.5 years of experience; strong match on Vector Search, Sentence Transformers, Fine-tuning LLMs; 30-day notice period and 79% recruiter response rate."
CAND_0068932,9,0.77,"ML Engineer with 5.2 yrs; 1 core AI skill including RAG, MLOps, OpenSearch; actively engaged (82% response rate, 30-day notice)."
CAND_0099806,10,0.7677,"Experienced AI Engineer (4.6 yrs) at product companies; expertise in FAISS, Embeddings, RAG; available in 30 days with 76% response rate."
CAND_0064888,11,0.7655,"Top-ranked ML Engineer (5.8 yrs, ideal title): TensorFlow, MLflow, Embeddings; 92% response rate; product-company background."
CAND_0046525,12,0.7639,"Senior Machine Learning Engineer with 6.1 years of experience; strong match on Sentence Transformers, Information Retrieval, Machine Learning; 60-day notice period and 88% recruiter response rate."
